No.,チャンネル,動画番号,動画ID,YouTubeID,タイトル,台本,台本番号,作成フラグ,進捗,品質チェック結果,文字数,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,更新日時,音声整形,音声検証,音声生成,音声品質,DALL-Eプロンプト（URL・テキスト指示込み）,台本パス
100,CH01,100,CH01-100,vF8vIxJfyPw,【瞑想で脳が変わる！】科学が証明したヴィパッサナーの驚くべき効果 | ブッダの教え,workspaces/scripts/CH01/100/content/assembled.md,,,投稿済み,,70,,,,,,,,"Oct 15, 2024",,,,,,workspaces/scripts/CH01/100/content/assembled.md
101,CH01,101,CH01-101,bqLFakYX1VU,なぜ、老後は子供に頼りすぎてはいけないのか | ブッダの教え,workspaces/scripts/CH01/101/content/assembled.md,,,投稿済み,,59,,,,,,,,"Oct 17, 2024",,,,,,workspaces/scripts/CH01/101/content/assembled.md
102,CH01,102,CH01-102,nJQu591oS_s,人に好かれる７つの行動 | ブッダの教え【すぐにやってください】,workspaces/scripts/CH01/102/content/assembled.md,,,投稿済み,,61,,,,,,,,"Oct 18, 2024",,,,,,workspaces/scripts/CH01/102/content/assembled.md
103,CH01,103,CH01-103,3A6s6VCUiOU,【絶対見てください】他人に嫉妬されている10個のサイン | ブッダの教え,workspaces/scripts/CH01/103/content/assembled.md,,,投稿済み,,65,,,,,,,,"Oct 19, 2024",,,,,,workspaces/scripts/CH01/103/content/assembled.md
104,CH01,104,CH01-104,_mqY1kYenWQ,【ブッダの教え】裏切り者を見抜く３つのサイン,workspaces/scripts/CH01/104/content/assembled.md,,,投稿済み,,53,,,,,,,,"Oct 21, 2024",,,,,,workspaces/scripts/CH01/104/content/assembled.md
105,CH01,105,CH01-105,wC5hgas_xUw,大人とガキの違い | ブッダの教え【その人の精神年齢はここに出る】,workspaces/scripts/CH01/105/content/assembled.md,,,投稿済み,,62,,,,,,,,"Oct 24, 2024",,,,,,workspaces/scripts/CH01/105/content/assembled.md
106,CH01,106,CH01-106,6d3oOyH99G4,これをすると地獄へ落ちます | ブッダの教え【99%がハマる嘘】,workspaces/scripts/CH01/106/content/assembled.md,,,投稿済み,,61,,,,,,,,"Nov 3, 2024",,,,,,workspaces/scripts/CH01/106/content/assembled.md
107,CH01,107,CH01-107,DFoD9is5-50,【ダメ絶対】こんな時は頑張らないでください | ブッダの教え,workspaces/scripts/CH01/107/content/assembled.md,,,投稿済み,,59,,,,,,,,"Nov 5, 2024",,,,,,workspaces/scripts/CH01/107/content/assembled.md
108,CH01,108,CH01-108,9Q6nY3sdbB4,【厳禁】すぐ謝る人は見てください。嫌われます | ブッダの教え,workspaces/scripts/CH01/108/content/assembled.md,,,投稿済み,,60,,,,,,,,"Nov 8, 2024",,,,,,workspaces/scripts/CH01/108/content/assembled.md
109,CH01,109,CH01-109,jdVZaLWNJkY,【要注意!!】絶対にこんな人とは関わらないでください | ブッダの教え,workspaces/scripts/CH01/109/content/assembled.md,,,投稿済み,,64,,,,,,,,"Nov 11, 2024",,,,,,workspaces/scripts/CH01/109/content/assembled.md
110,CH01,110,CH01-110,X8aJAIifd64,【役立つ知恵】あなたは大丈夫？こんな人が無意識に他人を傷つける。 | ブッダの教え,workspaces/scripts/CH01/110/content/assembled.md,,,投稿済み,,70,,,,,,,,"Nov 14, 2024",,,,,,workspaces/scripts/CH01/110/content/assembled.md
111,CH01,111,CH01-111,D4vCknQvJtA,【老後はたったの3人しか頼れなくなります】老後に絶対頼るべき人物とは？ | ブッダの教え,workspaces/scripts/CH01/111/content/assembled.md,,,投稿済み,,73,,,,,,,,"Nov 17, 2024",,,,,,workspaces/scripts/CH01/111/content/assembled.md
112,CH01,112,CH01-112,gMzPFBVxS6U,絶対に話してはいけない５つのこと【ブッダの教え】,workspaces/scripts/CH01/112/content/assembled.md,,,投稿済み,,55,,,,,,,,"Nov 20, 2024",,,,,,workspaces/scripts/CH01/112/content/assembled.md
113,CH01,113,CH01-113,lK9RpsXsIKo,【驚愕】自分に正直に生きるとこうなります。 | ブッダの教え,workspaces/scripts/CH01/113/content/assembled.md,,,投稿済み,,59,,,,,,,,"Nov 24, 2024",,,,,,workspaces/scripts/CH01/113/content/assembled.md
114,CH01,114,CH01-114,CirC4WNY6IY,【あなたは当てはまりますか？】器の小さい大人の特徴３選 | ブッダの教え,workspaces/scripts/CH01/114/content/assembled.md,,,投稿済み,,65,,,,,,,,"Nov 30, 2024",,,,,,workspaces/scripts/CH01/114/content/assembled.md
115,CH01,115,CH01-115,TJTEenoVPZQ,【９割が陥る罠】これでもう焦らなくなる仏教の教え | ブッダの教え,workspaces/scripts/CH01/115/content/assembled.md,,,投稿済み,,62,,,,,,,,"Dec 3, 2024",,,,,,workspaces/scripts/CH01/115/content/assembled.md
116,CH01,116,CH01-116,MOOTE3u6_ko,【目からウロコ‼︎】心が楽になる生き方と方法 | ブッダの教え【深くて良い話】,workspaces/scripts/CH01/116/content/assembled.md,,,投稿済み,,68,,,,,,,,"Dec 8, 2024",,,,,,workspaces/scripts/CH01/116/content/assembled.md
117,CH01,117,CH01-117,W2rdfKmjEjE,堂々と生きるための本当の優しさとは | ブッダの教え【その優しさはあなたを滅ぼします】,workspaces/scripts/CH01/117/content/assembled.md,,,投稿済み,,72,,,,,,,,"Dec 10, 2024",,,,,,workspaces/scripts/CH01/117/content/assembled.md
118,CH01,118,CH01-118,Qg-1jVNGdUM,【今すぐやめて】その思い込みは危険なので捨てなさい | ブッダの教え,workspaces/scripts/CH01/118/content/assembled.md,,,投稿済み,,63,,,,,,,,"Dec 13, 2024",,,,,,workspaces/scripts/CH01/118/content/assembled.md
119,CH01,119,CH01-119,hfXKTCI7xhQ,【あなたの周りにいませんか？】裏切り者の決定的な特徴７つ | ブッダの教え,workspaces/scripts/CH01/119/content/assembled.md,,,投稿済み,,66,,,,,,,,"Dec 14, 2024",,,,,,workspaces/scripts/CH01/119/content/assembled.md
120,CH01,120,CH01-120,brcKX0BQ2-I,【親切なつもりなのに、なぜか距離を置かれる...】悪気はないのに嫌われてしまう残念な人の特徴 | ブッダの教え,workspaces/scripts/CH01/120/content/assembled.md,,,投稿済み,,84,,,,,,,,"Dec 16, 2024",,,,,,workspaces/scripts/CH01/120/content/assembled.md
121,CH01,121,CH01-121,eoCrCUFg8qM,【絶対NG】周りからの信頼を失う、やりがちな言動3選 | ブッダの教え,workspaces/scripts/CH01/121/content/assembled.md,,,投稿済み,,64,,,,,,,,"Dec 18, 2024",,,,,,workspaces/scripts/CH01/121/content/assembled.md
122,CH01,122,CH01-122,xtibT-OFXx4,【怒りジワはヤバい！】怒りを抑えるために最初に知らねばならないこと | ブッダの教え,workspaces/scripts/CH01/122/content/assembled.md,,,投稿済み,,71,,,,,,,,"Dec 19, 2024",,,,,,workspaces/scripts/CH01/122/content/assembled.md
123,CH01,123,CH01-123,uqIKj8biFYk,嫌いな人との上手な接し方、苦手な人へのストレスが軽くなる | ブッダの教え,workspaces/scripts/CH01/123/content/assembled.md,,,投稿済み,,66,,,,,,,,"Dec 21, 2024",,,,,,workspaces/scripts/CH01/123/content/assembled.md
124,CH01,124,CH01-124,jdZXTZrB-rw,【要注意！】優しく見えて、実は冷たい人を見抜くポイント | ブッダの教え,workspaces/scripts/CH01/124/content/assembled.md,,,投稿済み,,65,,,,,,,,"Dec 25, 2024",,,,,,workspaces/scripts/CH01/124/content/assembled.md
125,CH01,125,CH01-125,yQI_3e7uQ6s,【危険人物！】このセリフを言う人を信用してはいけません | ブッダの教え,workspaces/scripts/CH01/125/content/assembled.md,,,投稿済み,,65,,,,,,,,"Jan 2, 2025",,,,,,workspaces/scripts/CH01/125/content/assembled.md
126,CH01,126,CH01-126,IkMMLZdDNu4,これを諦めるとあなたの人生は輝く｜ブッダの教え【仏教物語】,workspaces/scripts/CH01/126/content/assembled.md,,,投稿済み,,60,,,,,,,,"Jan 7, 2025",,,,,,workspaces/scripts/CH01/126/content/assembled.md
127,CH01,127,CH01-127,phXj83lUzec,寂しくて仕方ないのはなぜか。どうしたら解決できるのか | ブッダの教え,workspaces/scripts/CH01/127/content/assembled.md,,,投稿済み,,64,,,,,,,,"Jan 9, 2025",,,,,,workspaces/scripts/CH01/127/content/assembled.md
128,CH01,128,CH01-128,eT8hNH-9RSk,【危険】親子の絆に悩む全ての方へ、知っておくべき危険な言葉 | ブッダの教え,workspaces/scripts/CH01/128/content/assembled.md,,,投稿済み,,67,,,,,,,,"Jan 13, 2025",,,,,,workspaces/scripts/CH01/128/content/assembled.md
129,CH01,129,CH01-129,bvJmLhSTeXM,心のモヤモヤを消す３つの教え | ブッダの教え【人間関係のわだかまりを消す】,workspaces/scripts/CH01/129/content/assembled.md,,,投稿済み,,67,,,,,,,,"Jan 15, 2025",,,,,,workspaces/scripts/CH01/129/content/assembled.md
130,CH01,130,CH01-130,oPSfoAMHHUI,【気をつけて！】嘘をつく人が使う5つの言葉とは？ | ブッダの教え,workspaces/scripts/CH01/130/content/assembled.md,,,投稿済み,,62,,,,,,,,"Jan 16, 2025",,,,,,workspaces/scripts/CH01/130/content/assembled.md
131,CH01,131,CH01-131,_WFJP-rf_JQ,【絶対ダメ！】他人に話すと後悔する7つの言葉！自分を守るために「口にすべきではない」こと |  ブッダの教え,workspaces/scripts/CH01/131/content/assembled.md,,,投稿済み,,82,,,,,,,,"Jan 18, 2025",,,,,,workspaces/scripts/CH01/131/content/assembled.md
132,CH01,132,CH01-132,m7h4zjfH6uw,【これさえ実践すれば全てうまくいく！】心身の不調が続く人必見！全ての改善は言霊にあった | ブッダの教え,workspaces/scripts/CH01/132/content/assembled.md,,,投稿済み,,81,,,,,,,,"Jan 20, 2025",,,,,,workspaces/scripts/CH01/132/content/assembled.md
133,CH01,133,CH01-133,T3e8xQ31x8Y,【これだけ！】ストレスを消し去る３つの習慣！最も過酷な修行で悟ったこと | ブッダの教え,workspaces/scripts/CH01/133/content/assembled.md,,,投稿済み,,73,,,,,,,,"Jan 23, 2025",,,,,,workspaces/scripts/CH01/133/content/assembled.md
134,CH01,134,CH01-134,dgkJvEsS_iQ,【この3つ当てはまったらヤバい...！】老後の人生で大失敗する人の生き方 | ブッダの教え,workspaces/scripts/CH01/134/content/assembled.md,,,投稿済み,,74,,,,,,,,"Jan 24, 2025",,,,,,workspaces/scripts/CH01/134/content/assembled.md
135,CH01,135,CH01-135,i9c0_dctyE0,亡くなった人が夢に出てくる本当の理由 | ブッダの教え,workspaces/scripts/CH01/135/content/assembled.md,,,投稿済み,,56,,,,,,,,"Jan 29, 2025",,,,,,workspaces/scripts/CH01/135/content/assembled.md
136,CH01,136,CH01-136,rZEwnlyu-0o,【危険】この言葉を使う人とは縁を切れ | ブッダの教え,workspaces/scripts/CH01/136/content/assembled.md,,,投稿済み,,56,,,,,,,,"Jan 30, 2025",,,,,,workspaces/scripts/CH01/136/content/assembled.md
137,CH01,137,CH01-137,Q8gK0sJeSFo,【その優しさ、危険です】ブッダから学ぶ「目からうろこ」の本当の優しさとは!? | ブッダの教え,workspaces/scripts/CH01/137/content/assembled.md,,,投稿済み,,76,,,,,,,,"Jan 31, 2025",,,,,,workspaces/scripts/CH01/137/content/assembled.md
138,CH01,138,CH01-138,HkoZEzAwx-U,【警告】50歳から人生を豊かにするブッダの5つの教え | ブッダの教え,workspaces/scripts/CH01/138/content/assembled.md,,,投稿済み,,64,,,,,,,,"Feb 4, 2025",,,,,,workspaces/scripts/CH01/138/content/assembled.md
139,CH01,139,CH01-139,BRaCOFh1gLQ,【人の目を気にしなくなる5つの方法】これで人生が驚くほど楽になる | ブッダの教え,workspaces/scripts/CH01/139/content/assembled.md,,,投稿済み,,73,,,,,,,,"Feb 6, 2025",,,,,,workspaces/scripts/CH01/139/content/assembled.md
140,CH01,140,CH01-140,bx1wDhcSuoc,【危険人物】卑怯者は話すとき必ず〇〇という - 言葉で見抜く不誠実な人 | ブッダの教え,workspaces/scripts/CH01/140/content/assembled.md,,,投稿済み,,71,,,,,,,,"Feb 10, 2025",,,,,,workspaces/scripts/CH01/140/content/assembled.md
141,CH01,141,CH01-141,4D9iU86_VDA,嫌いな人を心から消す方法 | ブッダの教え,workspaces/scripts/CH01/141/content/assembled.md,,,投稿済み,,50,,,,,,,,"Feb 20, 2025",,,,,,workspaces/scripts/CH01/141/content/assembled.md
142,CH01,142,CH01-142,AHXI3qann50,【縁切り確定】毒のような人間関係から自分を守る | ブッダの教え,workspaces/scripts/CH01/142/content/assembled.md,,,投稿済み,,61,,,,,,,,"Feb 22, 2025",,,,,,workspaces/scripts/CH01/142/content/assembled.md
143,CH01,143,CH01-143,KQjrHTntFVY,【人生が変わる】悪口・否定・批判…何を言われても気にしない方法とは？人の評価は変わるものでも、あなたの価値は変わりません。 | ブッダの教え,workspaces/scripts/CH01/143/content/assembled.md,,,投稿済み,,99,,,,,,,,"Feb 26, 2025",,,,,,workspaces/scripts/CH01/143/content/assembled.md
144,CH01,144,CH01-144,MFgfrXEnPOM,"【⚠️注意】仏陀が教える""本当の成功""とは？ 称賛される人生と幸せな人生は違う！ | ブッダの教え",workspaces/scripts/CH01/144/content/assembled.md,,,投稿済み,,77,,,,,,,,"Mar 8, 2025",,,,,,workspaces/scripts/CH01/144/content/assembled.md
145,CH01,145,CH01-145,OTBs9zj2ebM,【サヨナラ確定】この言葉を聞いたら超危険 | ブッダの教え,workspaces/scripts/CH01/145/content/assembled.md,,,投稿済み,,58,,,,,,,,"Mar 13, 2025",,,,,,workspaces/scripts/CH01/145/content/assembled.md
146,CH01,146,CH01-146,WIoPhexfsf8,【知っていますか？】誠実な人が無意識に使う「魔法の言葉」〜言われるだけで心が開く秘密の技術〜 | ブッダの教え,workspaces/scripts/CH01/146/content/assembled.md,,,投稿済み,,84,,,,,,,,"Mar 18, 2025",,,,,,workspaces/scripts/CH01/146/content/assembled.md
147,CH01,147,CH01-147,dWEDLDetQzw,【なぜ？】人生が激変する！「どうでもいい」と思うだけで全てがうまくいく理由,workspaces/scripts/CH01/147/content/assembled.md,,,投稿済み,,68,,,,,,,,"Mar 21, 2025",,,,,,workspaces/scripts/CH01/147/content/assembled.md
148,CH01,148,CH01-148,Xh99txFMaS0,【あなたは本当に大丈夫？】老後に絶対に子供に渡してはいけない5つのもの | ブッダの教え,workspaces/scripts/CH01/148/content/assembled.md,,,投稿済み,,73,,,,,,,,"Mar 25, 2025",,,,,,workspaces/scripts/CH01/148/content/assembled.md
149,CH01,149,CH01-149,zaqxoGt5O1o,【9割が知らない】優しい人の口癖とその深い意味！ | ブッダの教え,workspaces/scripts/CH01/149/content/assembled.md,,,投稿済み,,62,,,,,,,,"Mar 29, 2025",,,,,,workspaces/scripts/CH01/149/content/assembled.md
150,CH01,150,CH01-150,7BhLgnRRkUk,"【人生が好転する！】""怠ける""って本当に悪いこと？怠ける人は最強！という仏教の教え | ブッダの教え",workspaces/scripts/CH01/150/content/assembled.md,,,投稿済み,,79,,,,,,,,"Apr 9, 2025",,,,,,workspaces/scripts/CH01/150/content/assembled.md
151,CH01,151,CH01-151,IU63A7coHuE,【人に合わせすぎて疲れたあなたへ】冷たい人ほど幸せになる驚きの理由 | その優しさが身を滅ぼします | ブッダの教え,workspaces/scripts/CH01/151/content/assembled.md,,,投稿済み,,85,,,,,,,,"Apr 14, 2025",,,,,,workspaces/scripts/CH01/151/content/assembled.md
152,CH01,152,CH01-152,DkbqcEMI1x8,"【禁断の人間関係術】バカのふりが最強の生き方だった！""心の余白""の秘密｜知らないと損する最強の謙虚パワー【脳科学で証明】| ブッダの教え",workspaces/scripts/CH01/152/content/assembled.md,,,投稿済み,,98,,,,,,,,"Apr 16, 2025",,,,,,workspaces/scripts/CH01/152/content/assembled.md
153,CH01,153,CH01-153,UXPnjT8bdU4,【最強メンタルへ激変！】心配ばかりしてしまうあなたへ | ブッダの教えで心が軽くなる話,workspaces/scripts/CH01/153/content/assembled.md,,,投稿済み,,72,,,,,,,,"Apr 22, 2025",,,,,,workspaces/scripts/CH01/153/content/assembled.md
154,CH01,154,CH01-154,rRqVxrbmtHA,"【正論よりよっぽど大切なこと！】その""常識""があなたを孤立させる | ブッダの教え | 仏教の教え",workspaces/scripts/CH01/154/content/assembled.md,,,投稿済み,,76,,,,,,,,"May 2, 2025",,,,,,workspaces/scripts/CH01/154/content/assembled.md
155,CH01,155,CH01-155,xD-UOFXWhbc,【衝撃の事実】心の汚い人が絶対に言えない「たった一言」｜99%が気づかない人間関係の法則 | ブッダの教え,workspaces/scripts/CH01/155/content/assembled.md,,,投稿済み,,82,,,,,,,,"May 7, 2025",,,,,,workspaces/scripts/CH01/155/content/assembled.md
156,CH01,156,CH01-156,Os1vFaeHPYM,【持ち物が増えると幸福度が下がるワケ】この矛盾をブッダはどう解いたか | ブッダの教え【聞き流し】,workspaces/scripts/CH01/156/content/assembled.md,,,投稿済み,,78,,,,,,,,"May 12, 2025",,,,,,workspaces/scripts/CH01/156/content/assembled.md
157,CH01,157,CH01-157,jkErbvLE-cA,脳が変わる感謝の力を知ってる？「本当の感謝」をした時に起こること。【感謝に秘められた力】 | ブッダの教え,workspaces/scripts/CH01/157/content/assembled.md,,,投稿済み,,82,,,,,,,,"May 15, 2025",,,,,,workspaces/scripts/CH01/157/content/assembled.md
158,CH01,158,CH01-158,M3G_tEH8scU,【逆転の一言】見下された時に使えるブッダの知恵『勝ち逃げの極意』｜仏教の教えで心が軽くなる | ブッダの教え,workspaces/scripts/CH01/158/content/assembled.md,,,投稿済み,,83,,,,,,,,"May 18, 2025",,,,,,workspaces/scripts/CH01/158/content/assembled.md
159,CH01,159,CH01-159,YlK-4Z_ZpOU,【孤独は幸せ？】老後一人ぼっちでも幸せに生きる3つの秘訣 | 仏教が教える人生の智慧 | ブッダの教え,workspaces/scripts/CH01/159/content/assembled.md,,,投稿済み,,78,,,,,,,,"May 22, 2025",,,,,,workspaces/scripts/CH01/159/content/assembled.md
160,CH01,160,CH01-160,h1AfSqf0EI4,【仏教×脳科学】その悩み、97%は起こりません。この考え方で人生がもっと楽しくなる！心を軽くする方法  | ブッダの教え【なぜか心が晴れない人へ…】,workspaces/scripts/CH01/160/content/assembled.md,,,投稿済み,,102,,,,,,,,"Jun 7, 2025",,,,,,workspaces/scripts/CH01/160/content/assembled.md
161,CH01,161,CH01-161,AqqdqtbMbU0,【心が軽くなる】放っておくと好転する法則 | もう悩まない心の整理術 | ブッダの教え | 仏教の知恵に学ぶ,workspaces/scripts/CH01/161/content/assembled.md,,,投稿済み,,79,,,,,,,,"Jun 12, 2025",,,,,,workspaces/scripts/CH01/161/content/assembled.md
162,CH01,162,CH01-162,cSNFdiL8wAQ,【⚠️このサインが出たら要注意】人の本性がむき出しになる３つの場面。ブッダが教える人間関係の極意 |  ブッダの教え,workspaces/scripts/CH01/162/content/assembled.md,,,投稿済み,,86,,,,,,,,"Jun 17, 2025",,,,,,workspaces/scripts/CH01/162/content/assembled.md
163,CH01,163,CH01-163,xUNMillK3go,【心が軽くなるブッダの教え】人間関係と体調の波に疲れたあなたへ。ブッダが教える5つの心の整え方  | 否定性バイアス,workspaces/scripts/CH01/163/content/assembled.md,,,投稿済み,,86,,,,,,,,"Jun 18, 2025",,,,,,workspaces/scripts/CH01/163/content/assembled.md
164,CH01,164,CH01-164,CxDlP2vCCbM,【人間関係で本当に見るべき一点】本当に信じていい人の見抜き方｜もう人間関係で悩まないための4つの視点 | ブッダの教え,workspaces/scripts/CH01/164/content/assembled.md,,,投稿済み,,88,,,,,,,,"Jun 29, 2025",,,,,,workspaces/scripts/CH01/164/content/assembled.md
165,CH01,165,CH01-165,pjQhLE7LByQ,【無駄な争いを避ける極意🧘】怒りを消し去り、心の平穏を取り戻す方法 | ブッダの教え【頭に来ても絶対に戦うな】,workspaces/scripts/CH01/165/content/assembled.md,,,投稿済み,,84,,,,,,,,"Jul 8, 2025",,,,,,workspaces/scripts/CH01/165/content/assembled.md
166,CH01,166,CH01-166,A7bZxRwaYLY,【絶対やるべき！】無理して付き合う必要はない人の特徴｜ブッダが教え,workspaces/scripts/CH01/166/content/assembled.md,,,投稿済み,,64,,,,,,,,"Jul 12, 2025",,,,,,workspaces/scripts/CH01/166/content/assembled.md
167,CH01,167,CH01-167,q_6wYkvXvcc,【脳が変わる習慣】ブッダの教え「掃けば不運が去り、福が来る」心の掃除で人生が変わる理由,workspaces/scripts/CH01/167/content/assembled.md,,,投稿済み,,74,,,,,,,,"Jul 15, 2025",,,,,,workspaces/scripts/CH01/167/content/assembled.md
168,CH01,168,CH01-168,FCJlRJuM_q0,【全てうまくいく黄金法則】人生最後も笑顔になれます。「本当に大切にすべきこと」５選｜心温まる話,workspaces/scripts/CH01/168/content/assembled.md,,,投稿済み,,78,,,,,,,,"Jul 18, 2025",,,,,,workspaces/scripts/CH01/168/content/assembled.md
169,CH01,169,CH01-169,pPYsu47yfYs,たった一言で気持ちが楽になる仏教の言葉！ | 力が湧くブッダの教え【ありがたいお言葉】,workspaces/scripts/CH01/169/content/assembled.md,,,投稿済み,,72,,,,,,,,"Jul 29, 2025",,,,,,workspaces/scripts/CH01/169/content/assembled.md
170,CH01,170,CH01-170,d8rzNAububE,【ほぼ知られてない脳科学と心理学】心配性の人が悩むのをやめる最強の教え。ペンシルベニア大学の研究で証明🧠 | ブッダの教え,workspaces/scripts/CH01/170/content/assembled.md,,,投稿済み,,90,,,,,,,,"Aug 3, 2025",,,,,,workspaces/scripts/CH01/170/content/assembled.md
171,CH01,171,CH01-171,-dGBn_uFOn0,【９割が知らない鈍感力】心が楽になるブッダの「受け流す」技術。自分の心を守るための優しさと賢さが身につきます。,workspaces/scripts/CH01/171/content/assembled.md,,,投稿済み,,86,,,,,,,,"Aug 8, 2025",,,,,,workspaces/scripts/CH01/171/content/assembled.md
172,CH01,172,CH01-172,i9D7gvjbyew,【99%好かれる会話術】なぜか人が集まる究極テクニック｜ブッダの教え,workspaces/scripts/CH01/172/content/assembled.md,,,投稿済み,,65,,,,,,,,"Aug 14, 2025",,,,,,workspaces/scripts/CH01/172/content/assembled.md
173,CH01,173,CH01-173,w62D9sjmS9U,【寝る前5分】その日の不安をリセットし、ぐっすり眠るブッダの習慣｜仏教の教え【慈悲の瞑想】,workspaces/scripts/CH01/173/content/assembled.md,,,投稿済み,,76,,,,,,,,"Aug 20, 2025",,,,,,workspaces/scripts/CH01/173/content/assembled.md
174,CH01,174,CH01-174,WnXF1Js8A1s,【これで幸運になります！】なぜかいつもご機嫌な人が無意識にやっている習慣 | ブッダの教え【科学的にも証明】,workspaces/scripts/CH01/174/content/assembled.md,,,投稿済み,,83,,,,,,,,"Aug 24, 2025",,,,,,workspaces/scripts/CH01/174/content/assembled.md
175,CH01,175,CH01-175,X714gD0ffyo,怒りを消す簡単なコツを知ってますか？ | ブッダの教え,workspaces/scripts/CH01/175/content/assembled.md,,,投稿済み,,56,,,,,,,,"Aug 29, 2025",,,,,,workspaces/scripts/CH01/175/content/assembled.md
176,CH01,176,CH01-176,9JW_Es9Vvdc,【🔮究極の言葉で人生は99%好転】口にするだけで運命が変わる「天国言葉」と、人生を壊す「地獄言葉」｜ブッダの教え,workspaces/scripts/CH01/176/content/assembled.md,,,投稿済み,,87,,,,,,,,"Sep 11, 2025",,,,,,workspaces/scripts/CH01/176/content/assembled.md
177,CH01,177,CH01-177,os-SJ9NY8EI,【99%好かれる】あなたの「顔つき」、損をしていませんか？ | ブッダの教え【運気を上げる人相術】,workspaces/scripts/CH01/177/content/assembled.md,,,投稿済み,,78,,,,,,,,"Sep 16, 2025",,,,,,workspaces/scripts/CH01/177/content/assembled.md
178,CH01,178,CH01-178,yB-68eCRXIw,【孤独が最強な理由】一人の時間を”極上”に変えるテクニック３選 | ブッダの教え,workspaces/scripts/CH01/178/content/assembled.md,,,投稿済み,,69,,,,,,,,"Sep 26, 2025",,,,,,workspaces/scripts/CH01/178/content/assembled.md
179,CH01,179,CH01-179,xwZD6Z3dH7o,【なぜか心がザワつく夜に】脳のゴミを掃除して、安らかに眠る仏教の知恵 | ブッダの教え,workspaces/scripts/CH01/179/content/assembled.md,,,投稿済み,,72,,,,,,,,"Sep 28, 2025",,,,,,workspaces/scripts/CH01/179/content/assembled.md
180,CH01,180,CH01-180,w-2L4lkjZ30,【人生が変わる最強の和歌】9歳の親鸞聖人が見抜いた後悔しない生き方。「明日やろう」が口癖のあなたへ | 仏教の教え,workspaces/scripts/CH01/180/content/assembled.md,,,投稿済み,,86,,,,,,,,"Sep 30, 2025",,,,,,workspaces/scripts/CH01/180/content/assembled.md
181,CH01,181,CH01-181,IwZj_QPlIOg,【永久保存版】人や社会に揺るがされない強い心の作り方 | ブッダの教え,workspaces/scripts/CH01/181/content/assembled.md,,,投稿済み,,64,,,,,,,,"Oct 5, 2025",,,,,,workspaces/scripts/CH01/181/content/assembled.md
182,CH01,182,CH01-182,3H3ej2OLsVM,【最終結論】消えない不安の正体は、ただの“心の癖”です。 | ブッダの教え,workspaces/scripts/CH01/182/content/assembled.md,,,投稿済み,,66,,,,,,,,"Oct 9, 2025",,,,,,workspaces/scripts/CH01/182/content/assembled.md
183,CH01,183,CH01-183,c3xEIu3qHFk,【警告】99%が不幸になってしまう３つの習慣。仏教物語と最新の健康科学が暴く、心と体を蝕む悲惨な末路。 | ブッダの教え,workspaces/scripts/CH01/183/content/assembled.md,,,投稿済み,,89,,,,,,,,"Oct 14, 2025",,,,,,workspaces/scripts/CH01/183/content/assembled.md
184,CH01,184,CH01-184,CIerZZosiGY,【科学的に証明】怒ることは「毒を飲む」のと同じ。自分を破壊するヤバい感情の正体をブッダが全て暴露します。 | ブッダの教え,workspaces/scripts/CH01/184/content/assembled.md,,,投稿済み,,90,,,,,,,,"Oct 15, 2025",,,,,,workspaces/scripts/CH01/184/content/assembled.md
185,CH01,185,CH01-185,Maj2bFj8rbc,【なぜか運がいい人の口癖】ブッダも実践した、幸運を呼び込む「アファメーション」の力 | ブッダの教え,workspaces/scripts/CH01/185/content/assembled.md,CH01-186,1.0,投稿済み,未完了,79,言葉が変われば、全てうまくいく。,,,人物の口から、光り輝く蝶が飛び立ち、周りの世界をキラキラと輝かせている。ポジティブな言葉が現実を創造していくイメージ。画面中央に、力強い白のゴシック体で「言葉が変われば、人生が変わる。」と表示。,「言霊」の力を仏教の「正語」と結びつけ、使う言葉を選ぶだけで、自己肯定感を高め、幸運を引き寄せる体質になる方法を提案する。,,導入：「どうせ無理」「ついてない」が口癖になっていませんか？その言葉が、あなたの現実を創っていると語る. ブッダの教え：「正語（しょうご）」とは、嘘や悪口を言わないだけでなく、自分や他人を勇気づける、建設的な言葉を使うこと. 幸運を呼ぶアファメーション：①「私は運がいい」。根拠はなくてもいい。断定形で唱える。②「すべてはうまくいっている」。困難な状況でも、これは成長の過程だと信じる。③「ありがとう」。感謝の言葉は、最高の波動を持つ. 結論：言葉は、思考の種。ポジティブな言葉の種を蒔き続ければ、やがて人生という庭に、美しい幸運の葉が咲き乱れると締めくくる。,"Oct 21, 2025",,,待機中,,,workspaces/scripts/CH01/185/content/assembled.md
186,CH01,186,CH01-186,mHUvbS7-KKQ,【逆転の一言】嫌な人から身を守る最強の方法「慈悲の距離」| ブッダの教え,workspaces/scripts/CH01/186/content/assembled.md,,,投稿済み,,66,,,,,,,,"Nov 6, 2025",,,,,,workspaces/scripts/CH01/186/content/assembled.md
187,CH01,187,CH01-187,3yWwS_ISmw8,【９割が誤解している優しさ】自分も相手も救う「境界線」の引き方 | ブッダの教え,workspaces/scripts/CH01/187/content/assembled.md,,,投稿済み,,69,,,,,,,,"Nov 11, 2025",,,,,,workspaces/scripts/CH01/187/content/assembled.md
