No.,チャンネル,動画番号,動画ID,YouTubeID,タイトル,台本,台本番号,作成フラグ,進捗,品質チェック結果,文字数,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,更新日時,音声整形,音声検証,音声生成,音声品質,DALL-Eプロンプト（URL・テキスト指示込み）,台本パス,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること,台本型,史実エピソード候補
21,CH32,21,CH32-021,,【見抜き方】謝れない人のプライドが人生を壊します。最後に失うもの｜ブッダの教え,workspaces/scripts/CH32/021/content/assembled.md,CH01-275,,script_validated,,4041,謝れない、地獄,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。重い冠が首を締めるように見える人物。誇りが鎖になる象徴。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,「謝れない」問題を慢（プライド）と恐れとして解体し、謝ることが負けではなく“自由”だと示す。型を渡して即実装させる。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】謝れずに関係が冷える経験。 【物語】一言が言えず苦しむ主人公。 【解説】慢=強さではなく恐れ。 【実践】謝る型3つ（短く/具体/次）。 【締め】謝れる人ほど楽になる。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/021/content/assembled.md,人間関係,プライド,職場,慢,関係修復が早くなり心が軽くなる,冠が鎖になる,【人間関係】で苦しいあなたへ──謝れない苦しさをほどく話。,"・謝れない人の心理
・謝る型3つ",kata2,経典伝承: 提婆達多が過ちを改めず対立を深めたとされる—「謝れないプライド」が最後に失うものの例（細部は諸説）。
22,CH32,22,CH32-022,,最高の復讐は「無視」です。嫌味な人に効く仏教的な返し,workspaces/scripts/CH32/022/content/assembled.md,CH01-276,,script_validated,,4198,怒らず、勝て,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。嫌味の矢が飛んでくるが、花びらのようにほどけて落ちる。穏やかな微笑。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,嫌味に真正面から怒らず、尊厳を守る“返し”を仏教の忍辱・慈悲で設計する。視聴後にそのまま使える一言を渡す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】嫌味に刺さってしまう共感。 【物語】皮肉を言われる場面。 【仏教】忍辱と慈悲（怒らない=負けではない）。 【実践】優しい返し3つ。 【締め】怒らずに勝つ。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/022/content/assembled.md,人間関係,嫌味,日常,忍辱,嫌味に心を奪われにくくなる,矢が花びらになる,【人間関係】で苦しいあなたへ──嫌味に効く返し方。,"・嫌味に効く返し3つ
・怒らず尊厳を守るコツ",kata2,経典伝承: 侮辱に反応しないブッダの逸話（「受け取らない贈り物」など）。嫌味に“乗らない”ことが最大の防御。
23,CH32,23,CH32-023,,絶対に話してはいけない5つのこと。秘密を守れない人が失う「信用」,workspaces/scripts/CH32/023/content/assembled.md,CH01-277,,script_validated,,4166,それ、言うな,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。鍵のかかった箱を手でそっと閉じる。秘密を守る象徴。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,「絶対に話してはいけない」系の強い入口で引きつけ、信用を守る技術に落とす。口業としての“漏らす一言”を物語で痛く描く。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】一言で信用が壊れる怖さ。 【物語】秘密を話して後悔する主人公。 【5つ】話してはいけない秘密の種類。 【実践】話す前の3秒（呼吸→目的→相手）。 【締め】信用は財産。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/023/content/assembled.md,人間関係,秘密,友人 / 家族,口業,信用を守り、人間関係が安定する,鍵の箱,【人間関係】で苦しいあなたへ──信用を守る話。,"・話してはいけない5つ
・秘密を守る習慣",kata3,史実: ブレッチリーパークの暗号解読者たちが、戦後も長く守秘義務を守った（周知化は後年）—秘密を漏らす代償の対比に。
24,CH32,24,CH32-024,,【沈黙の智慧】賢い人が絶対にしない会話の癖｜ブッダの教え,workspaces/scripts/CH32/024/content/assembled.md,CH01-278,,script_validated,,4167,賢い人は、言わない,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。騒がしい群衆の中で、静かに耳を傾ける人物。周囲はぼかし。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,「頭いい/悪い」系の強い需要を、会話の癖にフォーカスして再現する。正語と傾聴で、賢さ=人を下げない態度として示す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】賢い人の会話は疲れない。 【物語】同じ場で差が出る場面。 【しない癖】否定/自慢/遮り等。 【する癖】短く聞く/認める/要点。 【締め】賢さは優しさに出る。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/024/content/assembled.md,人間関係,会話,職場,正語,会話が楽になり信頼が増える,静けさが強さ,【人間関係】で苦しいあなたへ──賢い会話の話。,"・賢い人がしない会話の癖
・信頼が増える話し方",kata2,史実: 世阿弥。相手を立て、自分を前に出しすぎない言葉遣いが伝わる—沈黙/間の力として使える。
25,CH32,25,CH32-025,,【関わると不幸になる】会うと疲れる人の正体。距離を置くべき相手の特徴,workspaces/scripts/CH32/025/content/assembled.md,CH01-279,,script_validated,,4354,会うな、削られる,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。人物の輪郭が少しずつ削られていくような表現。近くに黒い影の人物。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,“会うと疲れる”を具体行動で言語化し、距離の取り方をシンプルにする。エネルギー泥棒系の強い需要を、より日常に寄せて回収する。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】会うとどっと疲れる相手。 【物語】帰り道でぐったりする主人公。 【特徴】境界を越える言動（要求/否定/支配）。 【実践】距離/時間/返しの3つ。 【締め】あなたのエネルギーは守っていい。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/025/content/assembled.md,人間関係,疲労,日常,境界線,人付き合いで消耗しにくくなる,心が削られる,【人間関係】で苦しいあなたへ──疲れる相手から離れる話。,"・会うと疲れる人の特徴
・距離の取り方",kata1,史実: 道元（伝承含む）。誰にでも同じ距離で接さず、学ぶ姿勢のない相手とは距離を取ったとされる—疲れる関係から離れる例。
26,CH32,26,CH32-026,,人に期待するほど怒りが増えます。期待を捨てると心が静かになる理由,workspaces/scripts/CH32/026/content/assembled.md,CH01-280,,script_validated,,4024,期待は、毒,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。握っていたロープ（期待）をそっと手放す手。手放した瞬間に光が差す。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,怒りの根にある「期待」を執着として扱い、手放し方を具体化する。怒りが減ると人間関係も老後も静かになる、と回収する。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】期待した分だけ腹が立つ。 【物語】家族/同僚に期待して傷つく主人公。 【解説】期待=執着。 【実践】手放す3つ（頼む/任せる/自分で決める）。 【締め】期待を捨てると、怒りが消える。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/026/content/assembled.md,怒り,期待,家庭 / 職場,期待と怒り,怒りが減り、心が穏やかになる,ロープを手放す,【怒り】で苦しいあなたへ──期待を手放す話。,"・怒りの根にある期待
・手放す3つの方法",kata3,史実: 千利休と豊臣秀吉（利休切腹の経緯は諸説）。「こうあるべき」への期待が崩れた時、怒りと執着が暴走する例として。
27,CH32,27,CH32-027,,【侘び寂びの真髄】本当に価値あるものは何か。執着を捨てると見える美しさ,workspaces/scripts/CH32/027/content/assembled.md,CH01-281,,script_validated,,4301,引き算の、美,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。古びた茶碗一つが静かに佇む。欠けがあるが、そこに美がある。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,「足し算」の幸せ探しから「引き算」の満足へ。侘び寂びの美学を現代に活かす。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】もっと欲しい、もっと足りないと思っていませんか。 【物語】モノを増やしても満たされない主人公。 【仏教】知足と侘び寂び。 【実践】減らす3つの習慣。 【締め】引き算の先に、本当の豊かさがある。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/027/content/assembled.md,自己肯定感,物欲,日常,知足,足りないという焦りが消える,古茶碗の美,【自己肯定感】で苦しいあなたへ──引き算の美しさの話。,"・侘び寂びの本質
・執着を手放す習慣",kata2,史実: 千利休の侘び茶（伝承含む）。豪華さより質素な美を選び「知足」に通じる価値観を示したとされる。
28,CH32,28,CH32-028,,【嫉妬の毒】他人の成功を喜べない人の心が壊れていく理由,workspaces/scripts/CH32/028/content/assembled.md,CH01-282,,script_validated,,4097,嫉妬は、自分を焼く,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。自分の心が炎で焼かれている人物。嫉妬の炎は自分を傷つける。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,嫉妬を「相手への攻撃」ではなく「自分への毒」として見せ、手放す方法を示す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】他人の成功が悔しくて仕方ない経験。 【物語】嫉妬で心が荒む主人公。 【仏教】随喜（他人の成功を喜ぶ）。 【実践】嫉妬を手放す3ステップ。 【締め】他人を祝えると自分も楽になる。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/028/content/assembled.md,人間関係,嫉妬,職場,随喜,嫉妬で心が荒れにくくなる,炎は自分を焼く,【人間関係】で苦しいあなたへ──嫉妬を手放す話。,"・嫉妬が自分を傷つける理由
・他人の成功を喜ぶ練習",kata3,経典伝承: 提婆達多がブッダへの嫉妬から害そうとしたとされる—嫉妬は本人の心を壊す「毒」の例。
29,CH32,29,CH32-029,,【孤独の価値】一人を楽しめる人が最後に勝つ理由｜ブッダの教え,workspaces/scripts/CH32/029/content/assembled.md,CH01-283,,script_validated,,4083,孤独は、強さ,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。静かな山小屋で一人、穏やかに本を読む人物。孤独の中の平和。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,孤独を「寂しさ」ではなく「自由」として再定義する。一人の時間を味方にする方法を示す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】一人でいることが怖くありませんか。 【物語】孤独を恐れて苦しむ主人公。 【仏教】独坐大雄峰。 【実践】一人時間を楽しむ3つの習慣。 【締め】孤独の中に自由がある。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/029/content/assembled.md,孤独,自立,ひとりの夜,独坐,孤独への恐怖が和らぐ,山小屋の静けさ,【孤独】で苦しいあなたへ──一人を楽しむ話。,"・孤独が怖くなくなる考え方
・一人時間の活かし方",kata2,史実: 鴨長明（方丈記）。災害や無常を経て小さな庵に住み、孤独の中で観察を深めたとされる。
30,CH32,30,CH32-030,,【怒りの正体】カッとなる前に知っておくべき仏教の教え。冷静さを取り戻す方法,workspaces/scripts/CH32/030/content/assembled.md,CH01-284,,script_validated,,4305,怒りを、制せ,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。嵐の中で静かに立つ人物。心の嵐を制している。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,怒りを抑えるのではなく「制する」技術を示す。冷静さを保つ具体的な方法を渡す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】カッとなって後悔したことはありませんか。 【物語】怒りで大切なものを失う主人公。 【仏教】忍辱と呼吸。 【実践】6秒ルール/深呼吸/その場を離れる。 【締め】怒りを制する者が勝つ。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/030/content/assembled.md,怒り,冷静,家庭 / 職場,忍辱,怒りで後悔しにくくなる,嵐の中の静けさ,【怒り】で苦しいあなたへ──冷静さを取り戻す話。,"・怒りの正体
・冷静さを保つ3つの方法",kata3,史実: 北条時宗（元寇期）。禅に帰依し心を定めたとされ、無学祖元の「喝」逸話も伝わる（諸説）—怒りを鎮める例。
31,CH32,31,CH32-031,,【老いを味方に】年を取るほど人生が良くなる人の共通点,workspaces/scripts/CH32/031/content/assembled.md,CH01-285,,script_validated,,4427,老いは、進化,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。美しく年を重ねた木。年輪が知恵の象徴。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,老いを「衰え」ではなく「熟成」として捉え直す。年を取ることの価値を示す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】年を取ることが怖くありませんか。 【物語】老いを嘆く主人公が変わる話。 【仏教】生老病死の受容。 【実践】老いを味方にする3つの心得。 【締め】年輪は知恵の証。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/031/content/assembled.md,老後,老い,退職後,諸行無常,老いへの恐怖が和らぐ,年輪のある大木,【老後】で苦しいあなたへ──老いを味方にする話。,"・老いを受け入れる考え方
・年を取るほど良くなる秘訣",kata2,史実: 松尾芭蕉。晩年まで旅を続け、衰えを受け入れつつ表現を磨いたとされる—老い=終わりではない例。
32,CH32,32,CH32-032,,【七転び八起き】失敗から立ち直れない人が知るべき仏教の教え,workspaces/scripts/CH32/032/content/assembled.md,CH01-286,,script_validated,,4032,失敗は、始まり,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。倒れても何度も立ち上がる人物のシルエット。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,失敗を「終わり」ではなく「学び」として再定義する。立ち直る具体的な方法を渡す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】失敗から立ち直れないでいませんか。 【物語】失敗で打ちのめされる主人公。 【仏教】七転八起。 【実践】失敗から学ぶ3ステップ。 【締め】失敗は終わりではなく始まり。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/032/content/assembled.md,自己肯定感,失敗,日常,七転八起,失敗で折れにくくなる,立ち上がる人,【自己肯定感】で苦しいあなたへ──失敗から立ち直る話。,"・失敗の捉え方
・立ち直る3ステップ",kata3,史実: 豊臣秀吉（経緯は諸説）。低い出自から台頭し、失敗を重ねて学び続けた人物像—立ち直りの例として。
33,CH32,33,CH32-033,,【執着の手放し方】手放せないものが多い人ほど苦しむ理由,workspaces/scripts/CH32/033/content/assembled.md,CH01-287,,script_validated,,4050,執着は、苦しみ,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。重い荷物を下ろし、軽やかに歩き出す人物。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,執着を手放すことで得られる自由を示す。具体的な手放し方を渡す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】手放せないものに苦しんでいませんか。 【物語】執着で苦しむ主人公。 【仏教】放下着。 【実践】執着を手放す3つの方法。 【締め】手放すと自由になれる。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/033/content/assembled.md,自己肯定感,執着,日常,放下着,執着から解放され心が軽くなる,荷物を下ろす,【自己肯定感】で苦しいあなたへ──執着を手放す話。,"・執着が苦しみを生む理由
・手放す3つの方法",kata2,史実: 一休宗純（伝承含む）。形式や権威への執着を嫌い、自由に生きたとされる—放下着（手放す）への接点に。
34,CH32,34,CH32-034,,【他人の評価】人の目を気にしすぎる人が自分らしく生きる方法,workspaces/scripts/CH32/034/content/assembled.md,CH01-288,,script_validated,,4016,評価は、風,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。風が吹いても揺るがない大木。他人の評価に振り回されない。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,他人の評価を「風」として受け流し、自分軸を持つ方法を示す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】人の目が気になって自分らしく生きられない。 【物語】評価に振り回される主人公。 【仏教】無我と自分軸。 【実践】評価を気にしない3つの習慣。 【締め】評価は風、あなたは大木。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/034/content/assembled.md,自己肯定感,評価,日常,無我,他人の評価に振り回されにくくなる,風に揺るがない大木,【自己肯定感】で苦しいあなたへ──他人の評価から自由になる話。,"・評価が気になる心理
・自分軸を持つ3つの習慣",kata3,史実: 葛飾北斎。晩年まで改号を重ね多数の作品を残した（数は諸説）—評価より制作に軸を置いた例。
35,CH32,35,CH32-035,,【許しの力】許せない人がいる時に知るべき仏教の教え,workspaces/scripts/CH32/035/content/assembled.md,CH01-289,,script_validated,,4079,許すは、解放,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。重い鎖が外れて自由になる手。許すことで解放される。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,「許し」は相手のためではなく自分のためであることを示す。許す具体的な方法を渡す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】許せない人がいて苦しんでいませんか。 【物語】恨みで心が蝕まれる主人公。 【仏教】慈悲と許し。 【実践】許すための3ステップ。 【締め】許すことは自分を解放すること。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/035/content/assembled.md,人間関係,許し,日常,慈悲,恨みから解放され心が軽くなる,鎖が外れる,【人間関係】で苦しいあなたへ──許しで自由になる話。,"・許せない人がいる苦しみ
・許すための3ステップ",kata2,経典伝承: アングリマーラ（殺人者）が改心し受け入れられたとされる—許しは相手の免罪ではなく、自分の心を解放する例。
36,CH32,36,CH32-036,,【死の恐怖】死が怖い人が知るべき仏教の教え。恐怖を和らげる考え方,workspaces/scripts/CH32/036/content/assembled.md,CH01-290,,script_validated,,4193,死は、変化,,,https://www.youtube.com/@himitu-o4p https://www.youtube.com/@shaka__namu YouTubeサムネイル画像。夕陽に向かって静かに歩く人物。死を恐れず受け入れる。 文字は一切入れないでください。インパクト強く、水彩画と油絵を混ぜたような感じ。,死を「終わり」ではなく「変化」として捉え直す。死の恐怖を和らげる具体的な方法を渡す。,他人の目や言葉に振り回されがちな40〜60代。真面目で優しいがゆえに、人間関係・老後・お金・孤独の不安を抱え、仏教の整理術で心を軽くしたいと願っている人。,【導入】死が怖くて眠れない夜はありませんか。 【物語】死の恐怖と向き合う主人公。 【仏教】生死一如。 【実践】死の恐怖を和らげる3つの考え方。 【締め】死を恐れず今を生きる。,2026-01-26 08:49:10,,,,,,workspaces/scripts/CH32/036/content/assembled.md,老後,死生観,ひとりの夜,生死一如,死への恐怖が和らぐ,夕陽への道,【老後】で苦しいあなたへ──死の恐怖を和らげる話。,"・死が怖い理由
・恐怖を和らげる考え方",kata3,経典伝承: ブッダの入滅（最期の教えとして「無常」が語られたとされる）。死の恐怖を観察に変える視点。
